Date,Rainfall_mm,Temperature_C,Humidity_pct,pH_Level,Turbidity_NTU,Flow_Rate_m3h,Daily_Usage_m3,Water_Availability_Level
2016-02-26,1.99,19.61,63.0,6.97,6.2,542.29,4610.97,5196.07
2016-02-27,0.04,20.91,57.73,7.36,0.27,649.19,4924.79,4661.26
2016-02-28,5.17,30.25,64.07,7.33,3.16,496.15,4183.65,5728.71
2016-02-29,0.92,21.13,17.06,7.26,2.51,438.74,4338.61,5330.87
2016-03-01,0.7,32.64,40.58,6.99,5.82,402.67,4753.95,4662.8
2016-03-02,0.24,30.02,54.61,7.11,1.31,507.53,4929.05,4494.14
2016-03-03,3.2,21.91,31.95,7.43,3.59,520.86,4921.43,4960.21
2016-03-04,4.74,31.44,54.85,7.87,3.65,469.64,4817.95,5027.08
2016-03-05,1.2,28.18,70.15,7.31,0.98,470.67,4731.25,4824.89
2016-03-06,1.62,26.44,57.62,7.62,2.96,425.56,4754.35,4878.83
2016-03-07,3.5,21.87,67.54,7.53,4.2,509.78,4302.36,5610.77
2016-03-08,0.67,27.03,50.02,7.24,0.83,565.81,4884.0,4642.73
2016-03-09,0.02,22.98,55.04,7.23,2.95,473.58,4861.33,4681.13
2016-03-10,0.66,32.89,51.63,7.25,3.68,449.69,4914.6,4493.35
2016-03-11,2.39,27.04,30.48,7.41,6.33,461.53,4768.52,4930.05
2016-03-12,1.53,33.04,38.01,7.7,1.7,551.49,5129.46,4362.33
2016-03-13,0.04,26.86,60.29,7.28,1.09,555.01,4810.54,4656.77
2016-03-14,8.71,33.65,34.35,7.48,11.36,564.44,5028.49,5169.42
2016-03-15,5.68,27.39,36.62,7.43,6.84,435.76,4866.1,5153.56
2016-03-16,3.72,32.63,51.46,7.65,3.82,540.3,4750.79,4968.82
2016-03-17,1.3,24.29,50.64,7.36,0.94,461.28,4761.42,4883.03
2016-03-18,0.19,29.6,29.38,7.5,2.63,533.22,5028.88,4398.44
2016-03-19,1.29,28.83,45.1,7.33,3.53,464.34,5008.41,4543.47
2016-03-20,3.27,28.66,53.15,7.61,4.88,589.72,4472.48,5281.44
2016-03-21,0.75,39.57,49.28,7.05,3.42,503.59,5097.91,4186.02
2016-03-22,2.18,33.13,44.39,7.54,6.09,538.12,5262.62,4293.21
2016-03-23,2.59,27.25,59.51,6.75,2.95,449.29,4081.76,5632.44
2016-03-24,0.27,37.64,88.63,6.57,5.21,522.62,5309.27,3965.43
2016-03-25,0.74,28.57,69.67,7.44,4.12,419.0,4312.8,5189.28
2016-03-26,2.03,28.51,54.44,7.57,7.94,507.94,4841.77,4791.01
2016-03-27,1.27,32.44,33.63,7.44,6.33,488.44,4849.52,4628.78
2016-03-28,3.84,29.88,48.66,7.66,4.63,470.47,4521.54,5264.97
2016-03-29,3.95,34.83,69.9,7.76,2.05,496.63,4655.42,5043.35
2016-03-30,0.76,33.64,68.44,6.94,5.61,553.45,4889.86,4513.33
2016-03-31,4.96,28.09,33.61,7.2,7.33,515.06,4506.39,5428.08
2016-04-01,1.43,39.23,29.28,7.01,5.93,524.18,5062.51,4296.36
2016-04-02,2.33,36.65,65.99,6.96,2.64,555.24,4827.67,4672.9
2016-04-03,0.18,31.88,46.58,7.09,3.95,505.72,4673.08,4707.03
2016-04-04,0.39,33.42,41.89,7.42,2.96,562.75,4683.57,4687.03
2016-04-05,1.33,35.42,70.57,7.03,2.12,481.64,4733.85,4690.47
2016-04-06,2.28,29.52,19.04,7.09,2.64,363.99,4736.15,4901.06
2016-04-07,0.78,34.62,40.05,7.45,1.67,541.44,4855.48,4530.62
2016-04-08,0.98,29.3,32.69,7.5,8.1,500.27,4982.49,4529.94
2016-04-09,2.65,28.51,65.51,7.22,2.99,477.55,4561.5,5133.31
2016-04-10,0.41,31.87,45.47,7.02,1.93,485.28,5022.27,4381.19
2016-04-11,1.14,25.28,70.28,6.96,1.15,594.97,4836.31,4772.3
2016-04-12,4.87,25.16,47.89,6.33,3.87,488.35,5012.05,4972.2
2016-04-13,0.09,27.78,26.46,6.87,8.93,427.01,4851.54,4601.89
2016-04-14,0.72,37.21,47.06,7.34,1.82,462.21,5233.93,4093.54
2016-04-15,0.08,31.04,20.79,7.36,5.43,527.87,4624.71,4762.24
2016-04-16,0.55,29.89,55.13,7.57,2.93,481.9,5063.78,4393.36
2016-04-17,7.81,29.05,83.54,6.89,5.63,505.81,4554.78,5645.43
2016-04-18,2.1,28.31,34.83,7.09,7.94,505.21,5164.79,4478.54
2016-04-19,1.08,36.31,38.7,7.04,6.98,430.66,4976.77,4404.78
2016-04-20,0.27,32.08,43.62,7.05,5.51,502.54,4992.78,4393.01
2016-04-21,1.43,29.71,39.03,6.77,3.56,539.79,4815.68,4733.24
2016-04-22,2.76,33.08,59.04,7.03,4.12,544.98,4895.47,4719.33
2016-04-23,1.08,31.56,72.39,7.15,1.57,491.38,4736.85,4740.28
2016-04-24,3.85,30.85,56.33,7.45,5.39,509.73,4733.57,5034.37
2016-04-25,0.01,30.46,55.99,7.64,3.03,569.74,4617.31,4774.75
2016-04-26,0.08,29.72,16.6,7.59,2.21,470.92,5205.59,4208.04
2016-04-27,2.66,26.41,18.46,7.21,11.85,476.69,5346.7,4390.96
2016-04-28,4.28,25.63,63.2,6.9,4.26,421.76,5225.98,4689.1
2016-04-29,3.19,36.71,82.31,7.35,7.93,526.98,4814.56,4770.26
2016-04-30,0.03,36.3,40.74,7.44,3.94,539.94,4503.31,4773.3
2016-05-01,1.94,34.36,48.88,7.08,1.63,472.75,4541.44,4965.3
2016-05-02,0.27,25.37,49.11,6.9,2.52,593.26,4562.4,4957.14
2016-05-03,0.4,30.63,45.87,6.93,14.29,491.76,4747.97,4678.97
2016-05-04,0.79,28.85,73.23,7.45,4.18,453.49,4568.45,4933.33
2016-05-05,0.74,31.61,52.05,6.92,1.27,504.46,5102.14,4340.08
2016-05-06,0.75,39.08,56.16,6.73,2.2,553.56,4572.94,4720.72
2016-05-07,1.58,25.47,61.95,6.82,5.57,464.67,5041.57,4607.37
2016-05-08,0.71,27.3,57.61,6.94,4.29,584.17,4576.18,4948.32
2016-05-09,0.67,23.48,49.47,7.18,13.19,441.39,5061.18,4536.09
2016-05-10,2.15,30.97,63.04,6.84,4.74,556.75,5438.61,4156.69
2016-05-11,0.06,27.16,47.1,6.98,1.4,503.48,5157.63,4305.55
2016-05-12,1.0,29.78,41.9,7.57,6.93,409.16,4595.78,4908.83
2016-05-13,0.22,28.39,29.85,7.24,0.85,527.91,4446.0,5008.69
2016-05-14,2.78,32.47,49.83,7.6,2.64,540.53,4767.82,4860.93
2016-05-15,1.12,33.36,37.95,7.59,2.25,619.4,5142.59,4301.82
2016-05-16,0.65,31.79,47.63,7.21,4.39,431.33,4931.62,4497.91
2016-05-17,1.53,33.15,37.77,7.6,1.79,522.69,4370.6,5119.63
2016-05-18,0.16,28.95,59.61,6.92,0.26,572.86,4824.59,4612.74
2016-05-19,0.34,31.74,50.5,7.1,0.72,513.38,4530.78,4868.91
2016-05-20,2.88,38.89,47.11,7.17,3.33,456.79,4963.92,4546.15
2016-05-21,3.94,22.49,41.87,6.97,4.29,421.06,4872.17,5072.11
2016-05-22,0.11,30.09,61.05,6.89,3.49,416.65,4816.51,4592.67
2016-05-23,1.99,31.86,33.41,7.75,5.92,554.92,4743.88,4818.14
2016-05-24,3.7,25.98,58.05,7.2,3.85,445.05,4921.17,4929.59
2016-05-25,3.6,20.52,54.88,6.93,5.99,407.0,4539.03,5410.77
2016-05-26,2.34,33.54,55.79,7.5,3.4,450.95,5032.75,4530.36
2016-05-27,0.17,26.88,35.49,7.06,1.83,493.78,4440.48,5039.4
2016-05-28,0.33,22.65,50.6,7.49,3.72,440.73,4429.45,5150.43
2016-05-29,0.92,30.01,38.61,7.65,3.2,540.08,4944.96,4547.17
2016-05-30,0.98,30.95,40.99,6.61,2.07,560.84,4293.07,5186.26
2016-05-31,1.65,31.07,60.81,7.03,3.81,429.25,4567.98,4975.76
2016-06-01,32.74,27.91,97.75,7.41,19.86,468.54,4880.09,7835.59
2016-06-02,6.8,26.85,96.08,7.13,5.42,447.7,4435.27,5708.18
2016-06-03,6.14,30.85,89.53,6.37,3.53,508.2,4479.37,5517.53
2016-06-04,33.58,33.26,91.62,7.22,24.46,437.5,5278.41,7414.29
2016-06-05,35.54,31.78,74.17,7.04,26.09,438.91,4908.92,8009.53
2016-06-06,10.57,23.8,50.12,6.94,6.83,519.8,4322.56,6258.71
2016-06-07,16.72,26.35,73.7,7.16,12.41,485.3,4354.27,6791.09
2016-06-08,11.78,35.03,87.37,7.75,6.13,604.33,5159.13,5318.67
2016-06-09,8.41,29.52,95.27,6.81,4.88,534.23,5257.82,4993.1
2016-06-10,9.13,37.32,78.89,6.99,6.63,501.84,4651.59,5514.56
2016-06-11,14.73,26.25,82.34,7.25,10.02,454.88,4600.79,6347.23
2016-06-12,36.26,29.43,88.69,7.28,18.72,471.18,4846.68,8190.94
2016-06-13,9.84,25.43,66.86,7.47,9.97,541.24,4525.0,5950.0
2016-06-14,20.09,31.87,97.09,6.98,10.51,591.72,4173.62,7197.89
2016-06-15,7.85,21.55,69.86,7.17,9.17,496.19,4424.18,5930.01
2016-06-16,23.12,31.93,46.53,6.92,12.62,416.13,5199.13,6473.77
2016-06-17,7.83,24.25,81.78,7.34,4.57,472.03,4742.61,5555.37
2016-06-18,14.38,25.69,76.47,7.35,8.24,404.77,4287.72,6636.77
2016-06-19,18.14,23.62,100.0,7.07,16.56,550.77,5144.05,6197.73
2016-06-20,28.15,29.44,74.65,7.28,18.88,543.57,4996.5,7229.8
2016-06-21,22.02,26.96,85.2,7.49,17.02,528.71,4831.22,6831.68
2016-06-22,26.91,26.98,64.57,7.21,15.63,473.81,4661.63,7489.81
2016-06-23,2.62,25.48,84.26,7.14,3.24,428.26,5312.28,4440.59
2016-06-24,33.53,32.03,90.87,7.07,17.95,425.95,4817.07,7895.63
2016-06-25,11.13,29.08,89.58,6.6,6.05,487.76,4518.75,6013.08
2016-06-26,4.7,32.55,71.0,7.18,4.39,590.5,4389.05,5430.01
2016-06-27,12.73,30.73,77.36,7.6,7.21,498.57,4602.2,6056.29
2016-06-28,15.78,26.47,98.38,7.53,9.4,543.12,5032.73,6016.2
2016-06-29,4.68,15.73,86.6,6.67,6.53,496.37,4955.75,5197.39
2016-06-30,22.24,38.17,79.25,7.18,11.89,540.58,5173.69,6286.44
2016-07-01,12.93,29.62,79.76,6.7,9.14,545.21,4931.6,5769.18
2016-07-02,8.45,20.95,87.68,7.27,6.18,533.46,4521.13,5904.65
2016-07-03,6.93,23.97,89.6,7.2,4.89,545.71,4382.31,5830.81
2016-07-04,29.94,23.1,64.22,6.89,15.63,503.13,4480.34,8052.12
2016-07-05,9.01,18.56,90.0,7.69,10.4,565.86,4771.31,5758.66
2016-07-06,45.41,34.28,81.06,7.57,23.63,543.08,4756.93,9098.31
2016-07-07,13.88,26.28,80.56,7.38,12.71,501.33,5182.07,5680.17
2016-07-08,29.41,29.55,64.06,7.57,16.06,535.35,5519.61,6830.28
2016-07-09,7.96,24.65,100.0,7.51,8.74,538.49,4857.11,5445.6
2016-07-10,2.58,12.11,78.76,7.0,5.17,438.56,4817.7,5198.1
2016-07-11,24.02,32.54,95.24,7.35,13.24,492.41,4919.95,6831.65
2016-07-12,26.4,23.73,63.26,7.06,15.34,418.97,4779.7,7385.98
2016-07-13,28.29,24.84,90.72,7.06,20.06,499.0,4518.69,7813.92
2016-07-14,4.45,26.64,75.39,7.19,4.72,536.41,4544.55,5367.49
2016-07-15,18.32,24.12,86.05,7.07,11.18,495.05,5172.89,6176.86
2016-07-16,10.33,24.78,73.09,6.79,6.74,475.35,4374.82,6162.37
2016-07-17,13.05,31.53,44.32,7.49,7.47,445.75,4784.97,5889.69
2016-07-18,8.18,27.06,62.69,7.36,4.79,556.2,5155.79,5121.02
2016-07-19,14.22,21.73,60.04,7.61,8.77,516.73,5138.08,5849.06
2016-07-20,21.92,26.73,83.34,7.67,13.75,438.61,5172.54,6484.82
2016-07-21,16.14,19.56,46.55,7.29,12.86,412.49,4016.4,7206.5
2016-07-22,44.04,28.08,82.69,7.24,27.55,526.4,4492.7,9349.57
2016-07-23,8.08,22.18,83.66,7.12,6.05,588.87,4828.95,5535.6
2016-07-24,44.22,22.77,67.13,6.94,26.1,540.68,4824.64,9142.28
2016-07-25,8.38,24.5,66.26,7.33,7.27,460.06,4805.76,5542.66
2016-07-26,5.57,25.43,66.98,7.16,5.95,563.46,4701.54,5346.76
2016-07-27,14.2,23.17,96.86,6.99,9.85,421.66,4717.31,6238.73
2016-07-28,3.24,24.14,61.67,7.17,4.41,475.57,4175.9,5665.73
2016-07-29,12.66,31.35,90.3,6.85,6.61,517.48,5060.55,5577.91
2016-07-30,9.26,29.39,60.49,7.46,5.05,494.34,4754.91,5583.47
2016-07-31,7.02,21.44,75.11,7.29,5.13,510.77,4732.26,5540.84
2016-08-01,11.02,36.03,87.96,7.43,7.28,454.31,4757.86,5623.58
2016-08-02,29.57,26.15,84.54,7.27,18.85,596.24,4813.9,7619.86
2016-08-03,4.28,24.59,92.49,6.75,3.78,558.32,4458.11,5478.22
2016-08-04,17.81,25.76,75.18,7.55,10.44,519.28,5146.13,6119.23
2016-08-05,27.76,28.41,55.65,7.38,19.72,507.43,4595.71,7612.04
2016-08-06,2.85,24.6,89.81,7.35,5.89,493.56,4422.67,5370.54
2016-08-07,9.96,24.32,83.86,6.83,8.06,505.32,5152.89,5356.39
2016-08-08,19.88,24.44,99.53,7.24,15.16,497.94,4619.66,6879.87
2016-08-09,7.11,23.89,88.31,6.93,4.17,529.14,4855.05,5377.75
2016-08-10,28.36,23.46,65.64,6.82,14.43,573.36,4575.55,7790.73
2016-08-11,27.43,29.81,61.72,7.31,20.71,578.43,4632.29,7514.49
2016-08-12,37.53,26.69,100.0,7.49,25.21,491.41,4775.66,8443.64
2016-08-13,5.7,33.94,82.01,7.18,10.69,549.09,5288.59,4602.59
2016-08-14,2.83,20.11,83.85,7.17,3.93,431.5,5014.98,4866.22
2016-08-15,16.73,19.4,98.4,7.19,10.86,439.77,4651.83,6632.81
2016-08-16,34.21,22.18,100.0,7.2,19.97,470.62,4834.38,8142.94
2016-08-17,3.65,27.19,88.49,7.03,7.78,429.2,4814.8,5006.21
2016-08-18,16.18,35.18,63.15,7.15,10.76,392.45,4739.17,6174.97
2016-08-19,26.52,21.27,90.03,7.09,23.27,531.95,4758.43,7468.51
2016-08-20,4.52,24.2,97.04,7.68,6.0,542.23,4613.8,5354.18
2016-08-21,42.14,29.58,100.0,6.32,26.15,501.33,4370.24,9252.07
2016-08-22,1.12,15.78,100.0,6.91,2.91,467.1,4548.1,5248.43
2016-08-23,17.34,34.71,77.86,6.96,9.88,441.32,5336.3,5703.72
2016-08-24,1.3,21.43,54.91,7.06,3.43,499.58,5251.59,4450.03
2016-08-25,65.72,21.96,62.74,7.18,36.56,505.63,4313.93,11818.71
2016-08-26,55.4,14.19,64.64,7.28,28.65,514.74,4648.99,10607.15
2016-08-27,14.09,23.27,98.67,7.14,9.29,478.25,4365.04,6578.34
2016-08-28,8.79,28.69,56.1,7.31,7.22,513.92,4444.62,5860.93
2016-08-29,10.96,25.88,70.01,7.75,6.61,550.17,5505.75,5072.24
2016-08-30,26.85,24.29,95.4,7.04,16.29,498.35,4965.63,7233.69
2016-08-31,6.16,26.12,88.99,7.04,8.27,560.21,5077.86,5016.0
2016-09-01,73.43,19.92,52.05,6.87,37.22,548.95,5178.53,11766.43
2016-09-02,9.13,29.34,82.54,7.36,6.98,465.91,5446.16,4879.67
2016-09-03,29.61,25.27,73.2,7.17,17.82,461.32,4550.91,7905.15
2016-09-04,15.64,22.47,100.0,7.46,12.68,507.21,4853.91,6260.87
2016-09-05,18.29,32.39,77.41,7.0,10.15,467.88,5010.49,6170.37
2016-09-06,14.87,23.24,77.93,7.1,7.95,428.35,4560.51,6461.9
2016-09-07,21.09,23.58,73.39,7.21,15.45,496.94,4540.94,7096.72
2016-09-08,13.3,23.81,93.3,7.34,8.48,409.65,4261.77,6592.29
2016-09-09,3.45,19.86,77.72,6.98,5.11,513.66,5027.81,4920.33
2016-09-10,22.39,26.17,67.55,7.26,14.63,491.13,4767.87,6947.6
2016-09-11,3.61,32.86,62.75,7.32,5.07,510.18,5171.21,4533.01
2016-09-12,10.12,16.7,65.71,7.2,6.24,545.46,4329.75,6348.09
2016-09-13,12.84,23.13,99.08,7.51,11.93,550.2,4280.48,6540.92
2016-09-14,13.65,22.88,59.67,7.04,7.57,571.21,4745.43,6162.15
2016-09-15,47.02,30.31,65.31,7.41,27.16,540.95,4241.94,9853.82
2016-09-16,31.31,26.04,80.44,6.89,18.98,408.22,4988.17,7622.09
2016-09-17,12.09,27.85,76.6,6.9,7.27,491.15,5194.63,5456.95
2016-09-18,12.31,19.35,100.0,7.6,8.69,559.01,4951.94,5892.11
2016-09-19,2.02,25.49,73.61,7.16,5.81,426.99,5470.79,4221.87
2016-09-20,2.22,20.66,82.35,7.36,4.39,483.72,4858.85,4949.49
2016-09-21,24.51,29.47,71.67,7.1,12.74,411.08,4780.48,7080.86
2016-09-22,8.24,25.98,76.4,7.12,5.47,528.88,4637.18,5667.5
2016-09-23,44.06,23.44,67.75,6.96,22.52,510.78,5650.06,8287.2
2016-09-24,23.39,17.15,89.63,7.29,15.17,489.27,4555.54,7440.4
2016-09-25,5.93,23.37,62.98,7.06,7.81,602.04,4023.83,6102.07
2016-09-26,14.04,22.48,64.55,7.36,9.67,459.93,3925.83,7028.93
2016-09-27,35.48,16.26,96.28,7.54,19.96,500.07,4860.17,8363.1
2016-09-28,6.77,21.98,81.22,7.42,6.04,413.73,4862.68,5374.32
2016-09-29,25.97,26.38,85.51,7.45,13.85,522.23,4846.23,7222.7
2016-09-30,33.93,20.7,100.0,7.17,19.55,501.89,4708.75,8270.73
2016-10-01,0.51,35.32,53.15,6.97,13.1,502.09,4601.63,4743.21
2016-10-02,1.09,26.02,38.83,7.04,1.4,461.85,4798.53,4789.87
2016-10-03,4.76,30.34,45.56,6.97,6.51,531.07,5245.63,4623.87
2016-10-04,0.79,27.58,62.63,7.13,0.48,540.22,4472.4,5055.08
2016-10-05,0.65,19.56,62.21,7.59,3.05,492.13,4794.92,4878.44
2016-10-06,0.95,23.52,42.57,7.29,2.16,549.67,5407.7,4216.8
2016-10-07,0.32,22.13,63.74,7.09,4.68,579.02,4843.98,4745.17
2016-10-08,5.73,26.46,58.28,7.64,5.14,457.86,4761.84,5281.69
2016-10-09,1.7,36.01,50.73,6.67,1.48,540.26,5052.11,4398.06
2016-10-10,0.26,24.08,64.36,7.44,2.17,450.53,4891.31,4653.26
2016-10-11,0.58,17.59,71.81,7.46,6.5,486.3,4736.9,4969.52
2016-10-12,1.93,23.59,63.9,7.01,2.47,513.8,5293.21,4428.34
2016-10-13,0.72,23.68,50.23,7.4,1.05,556.37,4592.83,5005.8
2016-10-14,0.32,24.68,20.09,7.04,0.57,396.72,4742.19,4796.11
2016-10-15,1.58,19.54,35.78,7.53,2.34,397.66,4762.93,5003.92
2016-10-16,1.77,34.3,32.01,6.04,6.75,526.22,4714.48,4776.41
2016-10-17,0.06,27.52,18.29,7.3,4.18,539.67,4369.8,5086.0
2016-10-18,2.9,19.05,39.58,7.57,2.73,439.91,4878.48,5030.19
2016-10-19,1.0,18.12,88.53,7.59,3.64,441.01,4832.71,4904.87
2016-10-20,0.74,27.61,45.68,6.92,0.87,546.05,4992.25,4528.99
2016-10-21,3.9,24.13,57.85,6.74,4.21,514.39,4592.3,5314.93
2016-10-22,2.24,21.41,37.41,6.97,5.09,463.97,4770.22,5025.53
2016-10-23,1.1,19.69,65.95,7.7,5.23,533.87,5101.84,4613.96
2016-10-24,1.76,32.33,64.91,7.44,2.13,571.19,4459.29,5070.3
2016-10-25,0.07,27.6,64.01,6.64,2.46,495.4,5321.16,4134.22
2016-10-26,5.52,18.11,59.6,7.3,3.84,491.27,4946.63,5243.16
2016-10-27,0.53,15.46,48.58,7.21,3.8,488.07,4385.93,5357.89
2016-10-28,0.16,30.05,32.3,7.0,1.99,492.95,4399.39,5015.21
2016-10-29,0.89,32.84,40.23,7.05,3.68,438.67,4973.83,4458.04
2016-10-30,1.45,27.71,60.81,7.48,1.72,497.7,4521.51,5069.22
2016-10-31,3.09,30.24,58.61,7.43,4.54,559.65,4567.59,5137.03
2016-11-01,0.3,26.22,43.0,7.3,2.9,485.43,4964.69,4541.17
2016-11-02,7.67,23.36,81.44,7.69,10.28,491.9,5392.41,4907.81
2016-11-03,5.36,22.73,75.88,7.2,4.81,388.33,4234.74,5846.73
2016-11-04,0.13,25.7,43.45,7.34,2.76,493.58,4731.35,4767.84
2016-11-05,0.04,31.58,73.01,6.97,2.6,534.36,4112.24,5259.87
2016-11-06,1.36,29.47,49.59,7.13,5.55,549.78,4858.54,4688.44
2016-11-07,0.89,30.5,70.95,7.05,5.32,511.93,5299.46,4179.25
2016-11-08,1.67,25.47,62.78,6.89,2.02,413.18,4822.97,4835.03
2016-11-09,1.54,23.73,64.16,7.48,7.44,517.15,4444.25,5234.87
2016-11-10,1.59,21.47,11.19,7.15,5.06,515.4,4914.98,4814.65
2016-11-11,0.2,27.33,61.24,6.97,3.44,453.13,4969.55,4504.24
2016-11-12,3.06,27.76,61.33,6.69,8.45,458.87,4648.23,3102.59
2016-11-13,2.05,29.64,77.25,7.4,6.43,437.36,4424.08,5188.0
2016-11-14,1.1,30.15,37.19,7.26,2.26,535.13,5492.96,4014.18
2016-11-15,1.41,21.41,44.18,7.16,2.32,505.91,4602.2,5110.38
2016-11-16,0.73,25.21,41.97,7.86,4.29,399.05,4421.21,5147.55
2016-11-17,0.37,35.72,69.64,6.77,1.14,480.78,4554.93,4767.76
2016-11-18,2.13,33.87,42.15,7.04,2.03,457.03,4349.25,5185.83
2016-11-19,1.92,29.44,79.4,7.22,5.05,381.3,4830.53,4772.53
2016-11-20,1.31,24.9,54.84,7.6,1.16,517.41,5088.12,4544.49
2016-11-21,7.02,24.81,53.86,7.1,4.31,419.06,5188.29,5017.81
2016-11-22,3.18,27.76,33.35,7.25,3.68,552.66,4359.5,5402.91
2016-11-23,0.03,19.48,75.17,6.75,2.0,471.77,4618.29,4994.51
2016-11-24,0.53,27.29,52.53,6.83,9.38,539.85,4951.87,4555.61
2016-11-25,4.34,29.63,56.39,7.51,5.46,501.23,4056.58,5784.69
2016-11-26,2.16,21.22,77.55,6.82,4.0,480.28,4710.79,5081.2
2016-11-27,1.26,24.64,42.21,7.03,3.22,527.23,4963.33,4669.43
2016-11-28,1.3,18.64,62.31,7.46,1.66,559.39,4660.14,5097.11
2016-11-29,0.69,23.39,19.22,7.09,1.59,531.09,4941.0,4660.58
2016-11-30,0.85,28.75,69.13,7.88,8.72,507.82,5075.57,4434.05
2016-12-01,4.72,21.61,57.6,7.1,2.62,506.16,4864.94,5175.26
2016-12-02,0.31,20.22,59.27,7.28,0.54,504.07,4655.49,4971.59
